,cell_type,batch,condition,donor,n_counts
cell_00974,T_cell,batch_1,disease,donor_0,1345
cell_00975,T_cell,batch_0,healthy,donor_5,1314
cell_00976,T_cell,batch_2,healthy,donor_2,1404
cell_00977,T_cell,batch_1,healthy,donor_3,1366
cell_00978,T_cell,batch_0,disease,donor_0,1211
cell_00979,T_cell,batch_1,disease,donor_2,1348
cell_00980,T_cell,batch_1,healthy,donor_1,1474
cell_00981,T_cell,batch_2,healthy,donor_3,1424
cell_00982,T_cell,batch_1,healthy,donor_0,1222
cell_00983,T_cell,batch_2,healthy,donor_5,1171
cell_00984,T_cell,batch_2,disease,donor_4,1323
cell_00985,T_cell,batch_0,disease,donor_1,1288
cell_00986,T_cell,batch_1,healthy,donor_4,1234
cell_00987,T_cell,batch_1,healthy,donor_0,1240
cell_00988,T_cell,batch_2,healthy,donor_1,1270
cell_00989,T_cell,batch_0,disease,donor_2,1277
cell_00990,T_cell,batch_1,disease,donor_0,1222
cell_00991,T_cell,batch_2,healthy,donor_5,1268
cell_00992,T_cell,batch_1,disease,donor_3,1411
cell_00993,T_cell,batch_0,disease,donor_0,1323
cell_00994,T_cell,batch_2,healthy,donor_4,1196
cell_00995,T_cell,batch_2,disease,donor_1,1447
cell_00996,T_cell,batch_0,disease,donor_1,1380
cell_00997,T_cell,batch_0,disease,donor_4,1364
cell_00998,T_cell,batch_2,healthy,donor_0,1275
cell_00999,T_cell,batch_1,healthy,donor_3,1283
cell_01000,T_cell,batch_2,healthy,donor_0,1252
cell_01001,T_cell,batch_2,healthy,donor_1,1424
cell_01002,T_cell,batch_0,healthy,donor_1,1292
cell_01003,T_cell,batch_1,healthy,donor_1,1354
cell_01004,T_cell,batch_2,healthy,donor_3,1476
cell_01005,T_cell,batch_2,healthy,donor_5,1265
cell_01006,T_cell,batch_0,healthy,donor_2,1415
cell_01007,T_cell,batch_1,healthy,donor_3,1447
cell_01008,T_cell,batch_2,disease,donor_3,1405
cell_01009,T_cell,batch_1,healthy,donor_4,1201
cell_01010,T_cell,batch_2,healthy,donor_3,1243
cell_01011,T_cell,batch_2,healthy,donor_1,1281
cell_01012,T_cell,batch_1,disease,donor_0,1408
cell_01013,T_cell,batch_2,healthy,donor_3,1323
cell_01014,T_cell,batch_0,healthy,donor_4,1250
cell_01015,T_cell,batch_1,healthy,donor_1,1255
cell_01016,T_cell,batch_0,disease,donor_0,1491
cell_01017,T_cell,batch_1,healthy,donor_3,1340
cell_01018,T_cell,batch_2,healthy,donor_2,1336
cell_01019,T_cell,batch_0,disease,donor_3,1350
cell_01020,T_cell,batch_2,healthy,donor_4,1314
cell_01021,T_cell,batch_0,disease,donor_3,1213
cell_01022,T_cell,batch_2,healthy,donor_2,1416
cell_01023,T_cell,batch_1,disease,donor_1,1243
cell_01024,T_cell,batch_1,healthy,donor_2,1351
cell_01025,T_cell,batch_1,healthy,donor_5,1402
cell_01026,T_cell,batch_1,disease,donor_3,1233
cell_01027,T_cell,batch_2,healthy,donor_4,1355
cell_01028,T_cell,batch_2,healthy,donor_0,1225
cell_01029,T_cell,batch_2,healthy,donor_4,1344
cell_01030,T_cell,batch_0,healthy,donor_4,1399
cell_01031,T_cell,batch_0,disease,donor_4,1422
cell_01032,T_cell,batch_0,healthy,donor_1,1241
cell_01033,T_cell,batch_2,disease,donor_0,1213
cell_01034,T_cell,batch_0,healthy,donor_4,1311
cell_01035,T_cell,batch_0,disease,donor_1,1272
cell_01036,T_cell,batch_0,healthy,donor_2,1290
cell_01037,T_cell,batch_1,disease,donor_3,1323
cell_01038,T_cell,batch_1,healthy,donor_5,1209
cell_01039,T_cell,batch_2,healthy,donor_5,1381
cell_01040,T_cell,batch_2,disease,donor_0,1485
cell_01041,T_cell,batch_1,healthy,donor_0,1369
cell_01042,T_cell,batch_1,disease,donor_4,1429
cell_01043,T_cell,batch_2,disease,donor_0,1389
cell_01044,T_cell,batch_1,disease,donor_5,1492
cell_01045,T_cell,batch_1,healthy,donor_5,1357
cell_01046,T_cell,batch_1,healthy,donor_2,1278
cell_01047,T_cell,batch_1,disease,donor_5,1169
cell_01048,T_cell,batch_2,healthy,donor_3,1300
cell_01049,T_cell,batch_1,healthy,donor_3,1339
cell_01050,T_cell,batch_0,disease,donor_1,1344
cell_01051,T_cell,batch_0,disease,donor_5,1461
cell_01052,T_cell,batch_1,disease,donor_0,1163
cell_01053,T_cell,batch_2,disease,donor_0,1280
cell_01054,T_cell,batch_1,disease,donor_4,1346
cell_01055,T_cell,batch_1,disease,donor_3,1390
cell_01056,T_cell,batch_0,disease,donor_3,1464
cell_01057,T_cell,batch_0,healthy,donor_3,1290
cell_01058,T_cell,batch_2,disease,donor_2,1373
cell_01059,T_cell,batch_0,healthy,donor_5,1320
cell_01060,T_cell,batch_0,healthy,donor_2,1415
cell_01061,T_cell,batch_2,healthy,donor_3,1389
cell_01062,T_cell,batch_0,healthy,donor_1,1234
cell_01063,T_cell,batch_2,healthy,donor_1,1277
cell_01064,T_cell,batch_0,healthy,donor_4,1407
cell_01065,T_cell,batch_2,disease,donor_0,1383
cell_01066,T_cell,batch_0,healthy,donor_0,1121
cell_01067,T_cell,batch_1,healthy,donor_4,1358
cell_01068,T_cell,batch_1,healthy,donor_4,1325
cell_01069,T_cell,batch_0,disease,donor_3,1417
cell_01070,T_cell,batch_0,disease,donor_5,1101
cell_01071,T_cell,batch_1,healthy,donor_5,1441
cell_01072,T_cell,batch_1,disease,donor_1,1286
cell_01073,T_cell,batch_2,disease,donor_0,1337
cell_01074,T_cell,batch_1,disease,donor_3,1261
cell_01075,T_cell,batch_1,disease,donor_3,1318
cell_01076,T_cell,batch_2,disease,donor_3,1311
cell_01077,T_cell,batch_0,healthy,donor_0,1403
cell_01078,T_cell,batch_2,disease,donor_4,1462
cell_01079,T_cell,batch_1,disease,donor_2,1444
cell_01080,T_cell,batch_1,healthy,donor_5,1377
cell_01081,T_cell,batch_0,disease,donor_2,1186
cell_01082,T_cell,batch_1,healthy,donor_2,1224
cell_01083,T_cell,batch_0,healthy,donor_4,1287
cell_01084,T_cell,batch_0,healthy,donor_1,1343
cell_01085,T_cell,batch_2,healthy,donor_4,1327
cell_01086,T_cell,batch_2,disease,donor_1,1276
cell_01087,T_cell,batch_1,healthy,donor_0,1368
cell_01088,T_cell,batch_0,disease,donor_3,1123
cell_01089,T_cell,batch_2,disease,donor_1,1476
cell_01090,T_cell,batch_1,disease,donor_2,1377
cell_01091,T_cell,batch_1,healthy,donor_2,1223
cell_01092,T_cell,batch_2,healthy,donor_1,1334
cell_01093,T_cell,batch_2,healthy,donor_2,1384
cell_01094,T_cell,batch_0,disease,donor_2,1195
cell_01095,T_cell,batch_1,disease,donor_5,1400
cell_01096,T_cell,batch_1,healthy,donor_0,1364
cell_01097,T_cell,batch_0,disease,donor_0,1301
cell_01098,T_cell,batch_2,healthy,donor_2,1062
cell_01099,T_cell,batch_1,healthy,donor_3,1241
cell_01100,T_cell,batch_2,disease,donor_3,1312
cell_01101,T_cell,batch_1,disease,donor_0,1169
cell_01102,T_cell,batch_2,disease,donor_3,1443
cell_01103,T_cell,batch_2,disease,donor_0,1491
cell_01104,T_cell,batch_1,disease,donor_0,1378
cell_01105,T_cell,batch_0,healthy,donor_1,1321
cell_01106,T_cell,batch_2,healthy,donor_0,1296
cell_01107,T_cell,batch_2,healthy,donor_1,1207
cell_01108,T_cell,batch_2,healthy,donor_3,1277
cell_01109,T_cell,batch_0,healthy,donor_5,1182
cell_01110,T_cell,batch_2,healthy,donor_5,1206
cell_01111,T_cell,batch_1,disease,donor_4,1249
cell_01112,T_cell,batch_2,disease,donor_1,1392
cell_01113,T_cell,batch_2,healthy,donor_5,1273
cell_01114,T_cell,batch_2,disease,donor_4,1355
cell_01115,T_cell,batch_1,healthy,donor_4,1420
cell_01116,T_cell,batch_1,healthy,donor_1,1333
cell_01117,T_cell,batch_1,healthy,donor_1,1162
cell_01118,T_cell,batch_2,healthy,donor_1,1231
cell_01119,T_cell,batch_0,disease,donor_2,1305
cell_01120,T_cell,batch_0,healthy,donor_5,1545
cell_01121,T_cell,batch_2,healthy,donor_1,1278
cell_01122,T_cell,batch_2,healthy,donor_5,1214
cell_01123,T_cell,batch_0,disease,donor_4,1469
cell_01124,T_cell,batch_2,disease,donor_0,1380
cell_01125,T_cell,batch_0,healthy,donor_2,1312
cell_01126,T_cell,batch_2,healthy,donor_2,1242
cell_01127,T_cell,batch_0,healthy,donor_2,1315
cell_01128,T_cell,batch_1,healthy,donor_3,1484
cell_01129,T_cell,batch_1,disease,donor_2,1507
cell_01130,T_cell,batch_2,disease,donor_0,1346
cell_01131,T_cell,batch_1,disease,donor_5,1407
cell_01132,T_cell,batch_1,disease,donor_1,1409
cell_01133,T_cell,batch_1,disease,donor_1,1330
cell_01134,T_cell,batch_0,healthy,donor_4,1244
cell_01135,T_cell,batch_1,disease,donor_0,1228
cell_01136,T_cell,batch_1,healthy,donor_4,1337
cell_01137,T_cell,batch_0,healthy,donor_0,1475
cell_01138,T_cell,batch_1,disease,donor_4,1273
cell_01139,T_cell,batch_2,healthy,donor_4,1246
cell_01140,T_cell,batch_0,healthy,donor_3,1257
cell_01141,T_cell,batch_2,healthy,donor_3,1400
cell_01142,T_cell,batch_0,disease,donor_0,1331
cell_01143,T_cell,batch_0,disease,donor_2,1250
cell_01144,T_cell,batch_2,healthy,donor_3,1229
cell_01145,T_cell,batch_0,healthy,donor_5,1154
cell_01146,T_cell,batch_0,disease,donor_3,1190
cell_01147,T_cell,batch_0,healthy,donor_0,1298
cell_01148,T_cell,batch_0,disease,donor_1,1493
cell_01149,T_cell,batch_2,disease,donor_1,1252
cell_01150,T_cell,batch_0,disease,donor_3,1372
cell_01151,T_cell,batch_2,healthy,donor_5,1407
cell_01152,T_cell,batch_1,healthy,donor_0,1321
cell_01153,T_cell,batch_2,healthy,donor_1,1167
cell_01154,T_cell,batch_1,healthy,donor_4,1346
cell_01155,T_cell,batch_1,healthy,donor_4,1198
cell_01156,T_cell,batch_1,healthy,donor_0,1383
cell_01157,T_cell,batch_2,disease,donor_2,1211
cell_01158,T_cell,batch_0,disease,donor_3,1248
cell_01159,T_cell,batch_1,healthy,donor_4,1240
cell_01160,T_cell,batch_2,disease,donor_4,1248
cell_01161,T_cell,batch_0,disease,donor_0,1416
cell_01162,T_cell,batch_1,disease,donor_4,1187
cell_01163,T_cell,batch_0,healthy,donor_5,1428
cell_01164,T_cell,batch_2,healthy,donor_5,1332
cell_01165,T_cell,batch_2,healthy,donor_4,1389
cell_01166,T_cell,batch_2,healthy,donor_0,1239
cell_01167,T_cell,batch_2,disease,donor_5,1333
cell_01168,T_cell,batch_1,disease,donor_1,1353
cell_01169,T_cell,batch_2,disease,donor_5,1331
cell_01170,T_cell,batch_1,disease,donor_2,1235
cell_01171,T_cell,batch_2,healthy,donor_5,1307
cell_01172,T_cell,batch_0,healthy,donor_1,1348
cell_01173,T_cell,batch_2,healthy,donor_1,1230
cell_01174,T_cell,batch_1,healthy,donor_3,1234
cell_01175,T_cell,batch_1,healthy,donor_5,1358
cell_01176,T_cell,batch_0,disease,donor_3,1279
cell_01177,T_cell,batch_1,disease,donor_1,1304
cell_01178,T_cell,batch_2,disease,donor_4,1346
cell_01179,T_cell,batch_1,healthy,donor_5,1193
cell_01180,T_cell,batch_1,healthy,donor_5,1389
cell_01181,T_cell,batch_0,healthy,donor_1,1418
cell_01182,T_cell,batch_0,disease,donor_0,1351
cell_01183,T_cell,batch_2,disease,donor_3,1453
cell_01184,T_cell,batch_0,healthy,donor_3,1317
cell_01185,T_cell,batch_1,healthy,donor_4,1329
cell_01186,T_cell,batch_0,healthy,donor_2,1454
cell_01187,T_cell,batch_1,disease,donor_4,1184
cell_01188,T_cell,batch_2,disease,donor_5,1350
cell_01189,T_cell,batch_2,healthy,donor_0,1403
cell_01190,T_cell,batch_2,disease,donor_5,1255
cell_01191,T_cell,batch_2,healthy,donor_5,1377
cell_01192,T_cell,batch_0,healthy,donor_2,1387
cell_01193,T_cell,batch_2,healthy,donor_2,1402
cell_01194,T_cell,batch_2,healthy,donor_4,1338
cell_01195,T_cell,batch_2,healthy,donor_2,1397
cell_01196,T_cell,batch_0,healthy,donor_1,1253
cell_01197,T_cell,batch_1,healthy,donor_2,1379
cell_01198,T_cell,batch_0,disease,donor_4,1360
cell_01199,T_cell,batch_1,healthy,donor_3,1229
cell_01200,T_cell,batch_0,healthy,donor_2,1327
cell_01201,T_cell,batch_2,disease,donor_0,1370
cell_01202,T_cell,batch_2,healthy,donor_2,1380
cell_01203,T_cell,batch_1,healthy,donor_3,1248
cell_01204,T_cell,batch_2,healthy,donor_0,1417
cell_01205,T_cell,batch_2,healthy,donor_0,1446
cell_01206,T_cell,batch_1,healthy,donor_0,1209
cell_01207,T_cell,batch_0,disease,donor_3,1257
cell_01208,T_cell,batch_0,healthy,donor_5,1298
cell_01209,T_cell,batch_0,disease,donor_4,1226
cell_01210,T_cell,batch_2,disease,donor_3,1304
cell_01211,T_cell,batch_1,healthy,donor_1,1580
cell_01212,T_cell,batch_1,disease,donor_4,1544
cell_01213,T_cell,batch_0,disease,donor_2,1374
cell_01214,T_cell,batch_1,healthy,donor_5,1125
cell_01215,T_cell,batch_0,disease,donor_5,1380
cell_01216,T_cell,batch_0,disease,donor_1,1253
cell_01217,T_cell,batch_0,healthy,donor_5,1289
cell_01218,T_cell,batch_2,healthy,donor_3,1320
cell_01219,T_cell,batch_2,healthy,donor_5,1291
cell_01220,T_cell,batch_1,disease,donor_1,1275
cell_01221,T_cell,batch_2,healthy,donor_0,1171
cell_01222,T_cell,batch_0,disease,donor_5,1370
cell_01223,T_cell,batch_2,healthy,donor_3,1368
cell_01224,T_cell,batch_0,disease,donor_1,1272
cell_01225,T_cell,batch_0,healthy,donor_2,1288
cell_01226,T_cell,batch_1,healthy,donor_1,1205
cell_01227,T_cell,batch_1,healthy,donor_4,1411
cell_01228,T_cell,batch_0,disease,donor_5,1136
cell_01229,T_cell,batch_2,healthy,donor_2,1193
cell_01230,T_cell,batch_0,disease,donor_3,1320
cell_01231,T_cell,batch_0,healthy,donor_4,1247
cell_01232,T_cell,batch_1,healthy,donor_5,1587
cell_01233,T_cell,batch_2,healthy,donor_3,1140
cell_01234,T_cell,batch_0,healthy,donor_2,1305
cell_01235,T_cell,batch_0,healthy,donor_1,1292
cell_01236,T_cell,batch_0,healthy,donor_4,1479
cell_01237,T_cell,batch_1,disease,donor_3,1057
cell_01238,T_cell,batch_0,healthy,donor_5,1412
cell_01239,T_cell,batch_2,healthy,donor_1,1377
cell_01240,T_cell,batch_1,healthy,donor_2,1209
cell_01241,T_cell,batch_1,disease,donor_2,1315
cell_01242,T_cell,batch_2,disease,donor_1,1132
cell_01243,T_cell,batch_0,disease,donor_5,1219
cell_01244,T_cell,batch_0,healthy,donor_5,1312
cell_01245,T_cell,batch_1,disease,donor_5,1286
cell_01246,T_cell,batch_2,disease,donor_4,1371
cell_01247,T_cell,batch_0,disease,donor_3,1202
cell_01248,T_cell,batch_2,healthy,donor_5,1335
cell_01249,T_cell,batch_2,healthy,donor_3,1225
cell_01250,T_cell,batch_0,disease,donor_5,1393
cell_01251,T_cell,batch_1,disease,donor_0,1377
cell_01252,T_cell,batch_0,disease,donor_2,1329
cell_01253,T_cell,batch_1,healthy,donor_0,1200
cell_01254,T_cell,batch_2,healthy,donor_3,1371
cell_01255,T_cell,batch_1,healthy,donor_5,1343
cell_01256,T_cell,batch_1,healthy,donor_1,1284
cell_01257,T_cell,batch_2,healthy,donor_2,1312
cell_01258,T_cell,batch_0,healthy,donor_0,1219
cell_01259,T_cell,batch_2,healthy,donor_4,1375
cell_01260,T_cell,batch_0,healthy,donor_2,1432
cell_01261,T_cell,batch_1,healthy,donor_1,1302
cell_01262,T_cell,batch_0,healthy,donor_4,1401
cell_01263,T_cell,batch_0,healthy,donor_5,1349
cell_01264,T_cell,batch_0,disease,donor_2,1302
cell_01265,T_cell,batch_2,healthy,donor_5,1283
cell_01266,T_cell,batch_2,disease,donor_1,1417
cell_01267,T_cell,batch_1,healthy,donor_5,1101
cell_01268,T_cell,batch_0,healthy,donor_0,1167
cell_01269,T_cell,batch_1,healthy,donor_2,1175
cell_01270,T_cell,batch_2,healthy,donor_3,1423
cell_01271,T_cell,batch_2,disease,donor_4,1337
cell_01272,T_cell,batch_1,disease,donor_0,1459
cell_01273,T_cell,batch_2,disease,donor_4,1310
cell_01274,T_cell,batch_0,healthy,donor_1,1267
cell_01275,T_cell,batch_0,disease,donor_2,1232
cell_01276,T_cell,batch_0,disease,donor_0,1148
cell_01277,T_cell,batch_2,healthy,donor_3,1377
cell_01278,T_cell,batch_2,disease,donor_0,1433
cell_01279,T_cell,batch_0,healthy,donor_3,1344
cell_01280,T_cell,batch_1,healthy,donor_4,1273
cell_01281,T_cell,batch_2,healthy,donor_2,1168
cell_01282,T_cell,batch_2,healthy,donor_4,1222
cell_01283,T_cell,batch_0,healthy,donor_2,1408
cell_01284,T_cell,batch_1,disease,donor_1,1395
cell_01285,T_cell,batch_1,disease,donor_0,1239
cell_01286,T_cell,batch_0,healthy,donor_4,1468
cell_01287,T_cell,batch_0,healthy,donor_2,1313
cell_01288,T_cell,batch_0,healthy,donor_4,1325
cell_01289,T_cell,batch_2,disease,donor_4,1343
cell_01290,T_cell,batch_0,disease,donor_1,1406
cell_01291,T_cell,batch_0,healthy,donor_5,1241
cell_01292,T_cell,batch_1,disease,donor_1,1411
cell_01293,T_cell,batch_1,healthy,donor_4,1401
cell_01294,T_cell,batch_2,healthy,donor_0,1251
cell_01295,T_cell,batch_2,healthy,donor_3,1245
cell_01296,T_cell,batch_0,disease,donor_0,1246
cell_01297,T_cell,batch_1,healthy,donor_0,1220
cell_01298,T_cell,batch_1,healthy,donor_0,1301
cell_01299,T_cell,batch_0,disease,donor_5,1236
cell_01300,T_cell,batch_1,healthy,donor_2,1287
cell_01301,T_cell,batch_2,healthy,donor_5,1419
cell_01302,T_cell,batch_2,disease,donor_1,1194
cell_01303,T_cell,batch_0,disease,donor_2,1316
cell_01304,T_cell,batch_0,disease,donor_5,1431
cell_01305,T_cell,batch_0,disease,donor_0,1337
cell_01306,T_cell,batch_0,disease,donor_0,1368
cell_01307,T_cell,batch_1,healthy,donor_0,1368
cell_01308,T_cell,batch_1,healthy,donor_3,1333
cell_01309,T_cell,batch_1,healthy,donor_1,1136
cell_01310,T_cell,batch_2,healthy,donor_3,1271
cell_01311,T_cell,batch_2,healthy,donor_0,1298
cell_01312,T_cell,batch_1,healthy,donor_0,1292
cell_01313,T_cell,batch_1,healthy,donor_4,1202
cell_01314,T_cell,batch_2,healthy,donor_1,1221
cell_01315,T_cell,batch_0,healthy,donor_2,1268
cell_01316,T_cell,batch_0,disease,donor_1,1282
cell_01317,T_cell,batch_1,healthy,donor_0,1302
cell_01318,T_cell,batch_2,healthy,donor_2,1430
cell_01319,T_cell,batch_0,healthy,donor_3,1303
cell_01320,T_cell,batch_0,healthy,donor_3,1412
cell_01321,T_cell,batch_2,healthy,donor_4,1261
cell_01322,T_cell,batch_1,healthy,donor_0,1475
cell_01323,T_cell,batch_0,disease,donor_1,1377
cell_01324,T_cell,batch_0,disease,donor_4,1230
cell_01325,T_cell,batch_0,disease,donor_2,1297
cell_01326,T_cell,batch_1,healthy,donor_4,1265
cell_01327,T_cell,batch_1,disease,donor_0,1333
cell_01328,T_cell,batch_2,healthy,donor_3,1143
cell_01329,T_cell,batch_1,disease,donor_1,1423
cell_01330,T_cell,batch_2,disease,donor_0,1333
cell_01331,T_cell,batch_0,healthy,donor_5,1391
cell_01332,T_cell,batch_2,healthy,donor_2,1130
cell_01333,T_cell,batch_1,disease,donor_1,1172
cell_01334,T_cell,batch_2,healthy,donor_4,1339
cell_01335,T_cell,batch_1,healthy,donor_2,1449
cell_01336,T_cell,batch_1,healthy,donor_4,1351
cell_01337,T_cell,batch_2,healthy,donor_2,1226
cell_01338,T_cell,batch_1,healthy,donor_2,1264
cell_01339,T_cell,batch_1,disease,donor_5,1267
cell_01340,T_cell,batch_0,healthy,donor_2,1385
cell_01341,T_cell,batch_2,healthy,donor_0,1374
cell_01342,T_cell,batch_1,disease,donor_5,1203
cell_01343,T_cell,batch_0,healthy,donor_0,1315
cell_01344,T_cell,batch_1,healthy,donor_2,1450
cell_01345,T_cell,batch_1,healthy,donor_1,1213
cell_01346,T_cell,batch_0,healthy,donor_2,1362
cell_01347,T_cell,batch_1,healthy,donor_0,1337
cell_01348,T_cell,batch_2,healthy,donor_4,1233
cell_01349,T_cell,batch_0,disease,donor_1,1356
cell_01350,T_cell,batch_0,disease,donor_3,1294
cell_01351,T_cell,batch_1,healthy,donor_5,1381
cell_01352,T_cell,batch_0,disease,donor_4,1391
cell_01353,T_cell,batch_2,disease,donor_4,1475
cell_01354,T_cell,batch_1,healthy,donor_1,1516
cell_01355,T_cell,batch_2,healthy,donor_3,1350
cell_01356,T_cell,batch_0,healthy,donor_1,1340
cell_01357,T_cell,batch_2,disease,donor_2,1256
cell_01358,T_cell,batch_1,disease,donor_5,1569
cell_01359,T_cell,batch_0,disease,donor_2,1294
cell_01360,T_cell,batch_1,healthy,donor_5,1388
cell_01361,T_cell,batch_0,healthy,donor_0,1401
cell_01362,T_cell,batch_0,disease,donor_1,1353
cell_01363,T_cell,batch_0,healthy,donor_2,1165
cell_01364,T_cell,batch_2,disease,donor_3,1233
cell_01365,T_cell,batch_2,disease,donor_2,1340
cell_01366,T_cell,batch_2,disease,donor_0,1122
cell_01367,T_cell,batch_0,healthy,donor_1,1437
cell_01368,T_cell,batch_2,healthy,donor_2,1534
cell_01369,T_cell,batch_1,healthy,donor_2,1326
cell_01370,T_cell,batch_2,healthy,donor_2,1328
cell_01371,T_cell,batch_2,healthy,donor_3,1286
cell_01372,T_cell,batch_2,healthy,donor_5,1392
cell_01373,T_cell,batch_1,disease,donor_2,1476
cell_01374,T_cell,batch_2,healthy,donor_4,1062
cell_01375,T_cell,batch_2,healthy,donor_1,1371
cell_01376,T_cell,batch_1,healthy,donor_4,1440
cell_01377,T_cell,batch_1,healthy,donor_3,1176
cell_01378,T_cell,batch_2,healthy,donor_1,1331
cell_01379,T_cell,batch_2,disease,donor_0,1256
cell_01380,T_cell,batch_1,healthy,donor_0,1102
cell_01381,T_cell,batch_2,healthy,donor_4,1346
cell_01382,T_cell,batch_1,healthy,donor_3,1359
cell_01383,T_cell,batch_2,healthy,donor_5,1234
cell_01384,T_cell,batch_1,disease,donor_1,1144
cell_01385,T_cell,batch_1,healthy,donor_0,1512
cell_01386,T_cell,batch_1,healthy,donor_3,1277
cell_01387,T_cell,batch_2,healthy,donor_2,1385
cell_01388,T_cell,batch_0,healthy,donor_4,1285
cell_01389,T_cell,batch_0,disease,donor_0,1413
cell_01390,T_cell,batch_0,healthy,donor_5,1338
cell_01391,T_cell,batch_0,healthy,donor_0,1239
cell_01392,T_cell,batch_2,healthy,donor_0,1377
cell_01393,T_cell,batch_2,disease,donor_1,1446
cell_01394,T_cell,batch_0,disease,donor_1,1219
cell_01395,T_cell,batch_0,healthy,donor_3,1459
cell_01396,T_cell,batch_2,disease,donor_2,1436
cell_01397,T_cell,batch_1,healthy,donor_1,1295
cell_01398,T_cell,batch_0,disease,donor_0,1437
cell_01399,T_cell,batch_2,healthy,donor_3,1420
cell_01400,T_cell,batch_2,disease,donor_1,1351
cell_01401,T_cell,batch_1,disease,donor_3,1356
cell_01402,T_cell,batch_2,disease,donor_5,1338
cell_01403,T_cell,batch_0,disease,donor_4,1468
cell_01404,T_cell,batch_1,disease,donor_5,1335
cell_01405,T_cell,batch_0,healthy,donor_3,1298
cell_01406,T_cell,batch_2,healthy,donor_4,1379
cell_01407,T_cell,batch_1,healthy,donor_2,1287
cell_01408,T_cell,batch_2,disease,donor_4,1236
cell_01409,T_cell,batch_0,healthy,donor_3,1571
cell_01410,T_cell,batch_0,healthy,donor_1,1267
cell_01411,T_cell,batch_1,disease,donor_4,1207
cell_01412,T_cell,batch_2,healthy,donor_2,1363
cell_01413,T_cell,batch_2,disease,donor_5,1275
cell_01414,T_cell,batch_0,healthy,donor_5,1257
cell_01415,T_cell,batch_2,healthy,donor_4,1243
cell_01416,T_cell,batch_0,healthy,donor_5,1370
cell_01417,T_cell,batch_2,healthy,donor_5,1285
cell_01418,T_cell,batch_2,disease,donor_2,1412
cell_01419,T_cell,batch_1,healthy,donor_1,1180
cell_01420,T_cell,batch_1,healthy,donor_1,1420
cell_01421,T_cell,batch_2,healthy,donor_4,1205
cell_01422,T_cell,batch_2,disease,donor_0,1122
cell_01423,T_cell,batch_1,healthy,donor_1,1353
cell_01424,T_cell,batch_0,healthy,donor_0,1440
cell_01425,T_cell,batch_2,healthy,donor_4,1103
cell_01426,T_cell,batch_1,healthy,donor_4,1287
cell_01427,T_cell,batch_0,healthy,donor_2,1177
cell_01428,T_cell,batch_2,healthy,donor_0,1246
cell_01429,T_cell,batch_0,disease,donor_4,1394
cell_01430,T_cell,batch_1,healthy,donor_2,1405
cell_01431,T_cell,batch_1,disease,donor_5,1409
cell_01432,T_cell,batch_1,healthy,donor_4,1221
cell_01433,T_cell,batch_0,disease,donor_3,1213
cell_01434,T_cell,batch_0,disease,donor_0,1250
cell_01435,T_cell,batch_1,disease,donor_3,1362
cell_01436,T_cell,batch_2,disease,donor_4,1169
cell_01437,T_cell,batch_2,disease,donor_5,1302
cell_01438,T_cell,batch_0,healthy,donor_2,1371
cell_01439,T_cell,batch_2,healthy,donor_1,1260
cell_01440,T_cell,batch_0,healthy,donor_1,1170
cell_01441,T_cell,batch_2,healthy,donor_1,1545
cell_01442,T_cell,batch_2,disease,donor_5,1248
cell_01443,T_cell,batch_1,healthy,donor_4,1287
cell_01444,T_cell,batch_1,healthy,donor_1,1472
cell_01445,T_cell,batch_2,disease,donor_0,1186
cell_01446,T_cell,batch_0,disease,donor_4,1338
cell_01447,T_cell,batch_2,healthy,donor_5,1322
cell_01448,T_cell,batch_2,healthy,donor_3,1438
cell_01449,T_cell,batch_2,disease,donor_3,1254
cell_01450,T_cell,batch_0,disease,donor_1,1171
cell_01451,T_cell,batch_1,healthy,donor_4,1157
cell_01452,T_cell,batch_2,healthy,donor_5,1258
cell_01453,T_cell,batch_2,disease,donor_1,1389
cell_01454,T_cell,batch_2,healthy,donor_5,1281
cell_01455,T_cell,batch_1,healthy,donor_2,1177
cell_01456,T_cell,batch_0,disease,donor_4,1372
cell_01457,T_cell,batch_2,healthy,donor_1,1461
cell_01458,T_cell,batch_0,healthy,donor_4,1307
cell_01459,T_cell,batch_0,healthy,donor_2,1457
cell_01460,T_cell,batch_0,healthy,donor_3,1294
cell_01461,T_cell,batch_1,healthy,donor_1,1434
cell_01462,T_cell,batch_0,healthy,donor_5,1427
cell_01463,T_cell,batch_0,healthy,donor_5,1382
cell_01464,T_cell,batch_1,healthy,donor_1,1015
cell_01465,T_cell,batch_2,healthy,donor_1,1181
cell_01466,T_cell,batch_1,healthy,donor_2,1325
cell_01467,T_cell,batch_0,disease,donor_5,1283
cell_01468,T_cell,batch_1,disease,donor_4,1197
cell_01469,T_cell,batch_1,healthy,donor_0,1368
cell_01470,T_cell,batch_1,disease,donor_1,1287
cell_01471,T_cell,batch_2,healthy,donor_5,1290
cell_01472,T_cell,batch_2,healthy,donor_5,1314
cell_01473,T_cell,batch_1,healthy,donor_2,1258
cell_01474,T_cell,batch_2,healthy,donor_4,1310
cell_01475,T_cell,batch_1,healthy,donor_4,1303
cell_01476,T_cell,batch_0,healthy,donor_5,1328
cell_01477,T_cell,batch_0,healthy,donor_3,1229
cell_01478,T_cell,batch_0,disease,donor_2,1140
cell_01479,T_cell,batch_2,healthy,donor_2,1275
